id,topic,source_lang,original_text,simplified_arabic,keywords,difficulty
27,Networking,fr,"Une adresse IP identifie de manière unique un appareil connecté à un réseau utilisant le protocole Internet.","عنوان IP هو رقم يميز كل جهاز متصل بالشبكة.","IP address|network|device",easy
28,Networking,fr,"Le routage consiste à choisir le chemin que suivent les paquets de données pour atteindre leur destination.","التوجيه هو اختيار المسار الذي تسلكه البيانات حتى تصل إلى وجهتها.","routing|packets|network",medium
29,Networking,ar,"يُعد بروتوكول TCP مسؤولًا عن نقل البيانات بشكل موثوق بين الأجهزة المتصلة بالشبكة.","بروتوكول TCP يساعد على إرسال البيانات بشكل صحيح وموثوق بين الأجهزة.","TCP|data transfer|network",medium
30,Networking,ar,"يسمح DNS بتحويل أسماء المواقع التي يكتبها المستخدم إلى عناوين IP تفهمها الأجهزة.","DNS يحول اسم الموقع إلى عنوان IP حتى تستطيع الأجهزة الوصول إليه.","DNS|domain name|IP",easy
31,Operating Systems,fr,"Un système d'exploitation gère les ressources matérielles et logicielles d'un ordinateur et fournit des services aux applications.","نظام التشغيل يدير مكونات الحاسوب والبرامج، ويساعد التطبيقات على العمل.","operating system|hardware|software",easy
32,Operating Systems,fr,"Un processus est un programme en cours d'exécution avec son propre état et ses ressources.","العملية هي برنامج يشتغل حاليًا وله حالته وموارده الخاصة.","process|program|execution",easy
33,Operating Systems,ar,"تُستخدم إدارة الذاكرة لتخصيص المساحات اللازمة للبرامج ومراقبة استعمالها.","إدارة الذاكرة تعني توزيع مساحة الذاكرة على البرامج ومتابعة استعمالها.","memory management|memory|programs",medium
34,Operating Systems,fr,"Le système de fichiers organise les données sur le disque en dossiers et fichiers pour faciliter leur stockage et leur accès.","نظام الملفات ينظم البيانات في ملفات ومجلدات لتسهيل حفظها والوصول إليها.","file system|storage|files",easy
35,Operating Systems,ar,"يُستعمل الجدولة لتحديد ترتيب تنفيذ العمليات داخل المعالج.","الجدولة تعني تحديد أي عملية ستعمل أولًا داخل المعالج.","scheduling|process|CPU",medium
36,Software Engineering,fr,"Le cycle de vie du développement logiciel regroupe les étapes de conception, développement, test et maintenance d'un logiciel.","دورة حياة تطوير البرمجيات تشمل مراحل تصميم البرنامج وبنائه واختباره وصيانته.","SDLC|development|testing",easy
37,Software Engineering,fr,"La méthode Agile privilégie le développement itératif, la collaboration et l'adaptation rapide aux changements.","منهجية أجايل تعتمد على العمل في خطوات قصيرة، والتعاون، والتكيف السريع مع التغييرات.","Agile|iteration|collaboration",medium
38,Software Engineering,ar,"تساعد متطلبات النظام على تحديد ما يجب أن يفعله البرنامج قبل بدء التطوير.","متطلبات النظام توضح ما الذي يجب أن ينجزه البرنامج قبل أن نبدأ تطويره.","requirements|system|development",easy
39,Software Engineering,fr,"Les tests unitaires vérifient le bon fonctionnement de petites parties du code de manière isolée.","اختبارات الوحدة تتأكد من أن أجزاء صغيرة من الكود تعمل بشكل صحيح لوحدها.","unit testing|code|testing",easy
40,Software Engineering,ar,"تُستخدم أنظمة التحكم في الإصدارات لتتبع التغييرات في الكود والتعاون بين المطورين.","أنظمة التحكم في الإصدارات تساعد على حفظ تغييرات الكود وتنظيم العمل بين المطورين.","version control|code|developers",easy
41,Cybersecurity Basics,fr,"Le chiffrement transforme les données en une forme illisible pour protéger leur confidentialité.","التشفير يحول البيانات إلى شكل غير مفهوم لحمايتها من القراءة غير المصرح بها.","encryption|data|security",easy
42,Cybersecurity Basics,fr,"Un pare-feu filtre le trafic réseau entrant et sortant afin de bloquer les connexions non autorisées.","الجدار الناري يراقب حركة الشبكة ويمنع الاتصالات غير المسموح بها.","firewall|network|security",easy
43,Cybersecurity Basics,ar,"يُعد التصيد الاحتيالي من الهجمات الشائعة التي تحاول خداع المستخدم للحصول على معلومات حساسة.","التصيد الاحتيالي هو محاولة خداع المستخدم حتى يكشف معلومات مهمة مثل كلمة المرور.","phishing|attack|password",easy
44,Cybersecurity Basics,fr,"L'authentification multifacteur renforce la sécurité en exigeant plusieurs preuves d'identité.","المصادقة متعددة العوامل تزيد الأمان لأنها تطلب أكثر من طريقة لإثبات الهوية.","MFA|authentication|security",medium
45,Cybersecurity Basics,ar,"تشير البرمجيات الخبيثة إلى برامج ضارة صممت لإلحاق الضرر بالنظام أو سرقة المعلومات.","البرمجيات الخبيثة هي برامج مضرة يمكن أن تفسد النظام أو تسرق المعلومات.","malware|system|security",easy
46,Cloud Computing Fundamentals,fr,"L'IaaS fournit des ressources informatiques virtuelles comme des serveurs, du stockage et des réseaux via Internet.","IaaS يقدم موارد حاسوبية عبر الإنترنت مثل الخوادم والتخزين والشبكات.","IaaS|cloud|servers",medium
47,Cloud Computing Fundamentals,fr,"Le PaaS offre un environnement permettant aux développeurs de créer et déployer des applications sans gérer l'infrastructure sous-jacente.","PaaS يوفر بيئة لتطوير التطبيقات ونشرها دون الحاجة إلى إدارة البنية التحتية مباشرة.","PaaS|platform|applications",medium
48,Cloud Computing Fundamentals,fr,"Le SaaS permet aux utilisateurs d'accéder à des logiciels hébergés en ligne à travers un navigateur ou une application.","SaaS يسمح باستعمال برامج موجودة على الإنترنت عبر المتصفح أو التطبيق.","SaaS|software|cloud",easy
49,Cloud Computing Fundamentals,ar,"تسمح الافتراضية بتشغيل عدة أنظمة أو بيئات عمل على نفس الجهاز المادي.","الافتراضية تعني تشغيل أكثر من نظام أو بيئة عمل على جهاز واحد.","virtualization|system|hardware",medium
50,Cloud Computing Fundamentals,ar,"تتميز الحوسبة السحابية بالمرونة لأنها تسمح بزيادة الموارد أو تقليلها حسب الحاجة.","الحوسبة السحابية مرنة لأنها تسمح بتكبير الموارد أو تقليلها حسب الحاجة.","cloud computing|scalability|resources",easy
51,Databases,fr,"Une transaction garantit que plusieurs opérations sur une base de données sont exécutées comme une seule unité cohérente.","المعاملة في قاعدة البيانات تعني تنفيذ عدة عمليات معًا كوحدة واحدة بحيث تنجح كلها أو تفشل كلها.","transaction|database|consistency",medium
52,Databases,fr,"Un index améliore la vitesse de recherche des données dans une table.","الفهرس يساعد على تسريع البحث عن البيانات داخل الجدول.","index|database|search",easy
53,Databases,ar,"يُستخدم القيد الفريد لضمان عدم تكرار القيم داخل عمود معين.","القيد الفريد يمنع تكرار نفس القيمة داخل العمود.","unique constraint|database|column",easy
54,Databases,fr,"Les bases de données NoSQL sont conçues pour gérer de grandes quantités de données non structurées.","قواعد بيانات NoSQL مصممة للتعامل مع كميات كبيرة من البيانات غير المنظمة.","NoSQL|database|data",medium
55,Databases,ar,"يُستخدم النسخ الاحتياطي لحماية البيانات من الفقدان.","النسخ الاحتياطي هو حفظ نسخة من البيانات حتى يمكن استرجاعها عند حدوث مشكلة.","backup|data|database",easy
56,Web Development,fr,"Un navigateur web est un logiciel permettant d'accéder et d'afficher les pages web.","متصفح الويب هو برنامج يسمح للمستخدم بفتح صفحات الإنترنت وعرضها.","browser|web|internet",easy
57,Web Development,fr,"Une API permet à différentes applications de communiquer entre elles.","واجهة البرمجة API تسمح للتطبيقات المختلفة بالتواصل وتبادل البيانات.","API|applications|communication",medium
58,Web Development,ar,"يُستخدم JSON لنقل البيانات بين الخادم والتطبيقات بطريقة سهلة القراءة.","JSON هو تنسيق بسيط يُستخدم لإرسال البيانات بين الخادم والتطبيق.","JSON|data|web",easy
59,Web Development,fr,"Un serveur web est responsable de recevoir les requêtes des utilisateurs et de renvoyer les pages demandées.","خادم الويب يستقبل طلبات المستخدمين ويرسل صفحات الموقع المطلوبة.","web server|request|response",easy
60,Web Development,ar,"يُستخدم إطار العمل لتسهيل بناء التطبيقات وتوفير أدوات جاهزة للمطورين.","إطار العمل يوفر أدوات وقواعد تساعد المطور على بناء التطبيقات بسرعة.","framework|development|software",easy
61,Networking,fr,"Un réseau local relie plusieurs ordinateurs dans une zone géographique limitée.","الشبكة المحلية تربط عدة حواسيب داخل مكان صغير مثل شركة أو مدرسة.","LAN|network|computers",easy
62,Networking,fr,"Le protocole HTTP est utilisé pour transférer les pages web entre le serveur et le navigateur.","بروتوكول HTTP يستخدم لنقل صفحات الويب بين الخادم والمتصفح.","HTTP|protocol|web",easy
63,Networking,ar,"يُستخدم عنوان MAC لتمييز بطاقة الشبكة داخل الجهاز.","عنوان MAC هو رقم يميز بطاقة الشبكة داخل الجهاز.","MAC address|network|hardware",easy
64,Networking,fr,"La bande passante représente la quantité de données pouvant être transmise sur un réseau.","عرض النطاق يشير إلى كمية البيانات التي يمكن إرسالها عبر الشبكة.","bandwidth|network|data",medium
65,Networking,ar,"يُستخدم الموجه لتوجيه البيانات بين شبكات مختلفة.","الموجه هو جهاز يحدد الطريق الذي تسلكه البيانات بين الشبكات.","router|network|data",easy
66,Software Engineering,fr,"La documentation aide les développeurs à comprendre et maintenir le code.","التوثيق يشرح كيفية عمل البرنامج ويساعد المطورين على فهم الكود.","documentation|software|code",easy
67,Software Engineering,fr,"Un bug est une erreur dans le code qui provoque un comportement incorrect.","الخطأ البرمجي هو مشكلة في الكود تسبب نتيجة غير صحيحة.","bug|software|code",easy
68,Software Engineering,ar,"تساعد اختبارات التكامل على التأكد من أن أجزاء النظام تعمل معًا بشكل صحيح.","اختبارات التكامل تتحقق من أن مكونات النظام تعمل معًا بشكل صحيح.","integration testing|system|software",medium
69,Software Engineering,fr,"Le refactoring consiste à améliorer la structure du code sans modifier son comportement.","إعادة هيكلة الكود تعني تحسين تنظيمه دون تغيير طريقة عمله.","refactoring|code|software",medium
70,Software Engineering,ar,"يساعد التصميم الجيد للنظام على جعل البرنامج أكثر قابلية للتطوير.","التصميم الجيد يجعل البرنامج أسهل في التوسيع والصيانة.","software design|architecture|system",medium
71,Cloud Computing Fundamentals,fr,"Le cloud computing permet d'utiliser des ressources informatiques via Internet.","الحوسبة السحابية تسمح باستخدام موارد الحاسوب عبر الإنترنت.","cloud computing|internet|resources",easy
72,Cloud Computing Fundamentals,fr,"La scalabilité permet à un système de gérer زيادة عدد المستخدمين.","قابلية التوسع تعني قدرة النظام على التعامل مع عدد أكبر من المستخدمين.","scalability|system|cloud",medium
73,Cloud Computing Fundamentals,ar,"يُستخدم التخزين السحابي لحفظ الملفات على خوادم عبر الإنترنت.","التخزين السحابي يسمح بحفظ الملفات على الإنترنت بدل الجهاز المحلي.","cloud storage|files|internet",easy
74,Cloud Computing Fundamentals,fr,"Les conteneurs permettent d'exécuter les applications dans des environnements isolés.","الحاويات تسمح بتشغيل التطبيقات داخل بيئات منفصلة.","containers|software|cloud",medium
75,Cloud Computing Fundamentals,ar,"تُستخدم الخدمات السحابية لتشغيل التطبيقات دون الحاجة إلى إدارة الخوادم.","الخدمات السحابية تسمح بتشغيل البرامج دون إدارة الخوادم مباشرة.","cloud services|applications|servers",medium
76,Algorithms,fr,"Un tri par insertion construit la liste triée en insérant chaque élément à sa position correcte.","خوارزمية الإدراج ترتب العناصر بإضافة كل عنصر في مكانه الصحيح.","insertion sort|algorithm|sorting",medium
77,Algorithms,fr,"La complexité spatiale mesure la quantité de mémoire utilisée par un algorithme.","تعقيد الذاكرة يحدد مقدار الذاكرة التي تحتاجها الخوارزمية.","space complexity|algorithm|memory",medium
78,Algorithms,ar,"تساعد هياكل البيانات على تنظيم البيانات بطريقة تسهل معالجتها.","هياكل البيانات هي طرق لتنظيم البيانات حتى يسهل التعامل معها.","data structures|algorithm|data",easy
79,Algorithms,fr,"Une pile fonctionne selon le principe dernier entré أول خارج.","المكدس يعمل وفق مبدأ آخر عنصر دخل هو أول عنصر يخرج.","stack|data structure|LIFO",medium
80,Algorithms,ar,"يُستخدم الطابور لمعالجة العناصر حسب ترتيب وصولها.","الطابور يعالج العناصر حسب ترتيب دخولها.","queue|data structure|FIFO",easy
81,Operating Systems,fr,"Le multitâche permet au système d'exploitation d'exécuter plusieurs programmes simultanément.","تعدد المهام يسمح للنظام بتشغيل عدة برامج في نفس الوقت.","multitasking|OS|process",medium
82,Operating Systems,fr,"Le noyau est la partie centrale du système d'exploitation.","النواة هي الجزء الأساسي الذي يتحكم في عمل نظام التشغيل.","kernel|OS|system",easy
83,Operating Systems,ar,"تسمح إدارة العمليات بتنظيم تشغيل البرامج داخل النظام.","إدارة العمليات تنظم كيفية تشغيل البرامج داخل النظام.","process management|OS|programs",medium
84,Operating Systems,fr,"Un thread représente une unité d'exécution داخل البرنامج.","الخيط هو جزء صغير من البرنامج يمكن تشغيله بشكل مستقل.","thread|OS|execution",medium
85,Operating Systems,ar,"تُستخدم المقاطعات لإعلام المعالج بحدوث حدث معين.","المقاطعة هي إشارة تخبر المعالج بحدوث حدث يحتاج إلى معالجة.","interrupt|CPU|system",medium
86,Cybersecurity Basics,fr,"Un mot de passe fort doit contenir lettres chiffres et symboles.","كلمة المرور القوية تحتوي على حروف وأرقام ورموز مختلفة.","password|security|authentication",easy
87,Cybersecurity Basics,fr,"Une attaque par force brute tente de deviner un mot de passe en essayant plusieurs combinaisons.","هجوم القوة الغاشمة يحاول تخمين كلمة المرور عبر تجربة عدة احتمالات.","brute force|attack|password",medium
88,Cybersecurity Basics,ar,"تساعد التحديثات الأمنية على إصلاح الثغرات في البرامج.","التحديثات الأمنية تصلح الثغرات وتحسن أمان النظام.","security update|system|software",easy
89,Cybersecurity Basics,fr,"Un certificat numérique permet de vérifier l'identité d'un site web.","الشهادة الرقمية تساعد على التأكد من هوية الموقع.","certificate|security|web",medium
90,Cybersecurity Basics,ar,"يُستخدم التحقق الثنائي لزيادة أمان حساب المستخدم.","التحقق الثنائي يضيف خطوة إضافية للتأكد من هوية المستخدم.","two factor authentication|security|login",medium
91,Databases,fr,"Une vue dans une base de données est une table virtuelle basée sur une requête.","العرض في قاعدة البيانات هو جدول افتراضي يعتمد على نتيجة استعلام.","database view|query|table",medium
92,Databases,fr,"Une clé étrangère permet de créer une relation entre deux tables.","المفتاح الخارجي يربط جدولًا بجدول آخر في قاعدة البيانات.","foreign key|database|relation",easy
93,Databases,ar,"يُستخدم الفهرس المركب لتسريع البحث في أكثر من عمود.","الفهرس المركب يساعد على تسريع البحث عندما يعتمد على عدة أعمدة.","composite index|database|search",medium
94,Databases,fr,"Les procédures stockées permettent d'exécuter des opérations SQL complexes côté serveur.","الإجراءات المخزنة هي أوامر SQL محفوظة في الخادم لتنفيذ عمليات معقدة.","stored procedure|SQL|database",medium
95,Databases,ar,"تُستخدم المعاملات لضمان سلامة البيانات أثناء العمليات.","المعاملة تضمن أن العمليات على البيانات تتم بشكل صحيح أو يتم إلغاؤها.","transaction|database|data",medium
96,Web Development,fr,"Le DOM représente la structure d'une page HTML sous forme d'arbre.","DOM يمثل هيكل صفحة HTML على شكل شجرة من العناصر.","DOM|HTML|structure",medium
97,Web Development,fr,"Les cookies permettent aux sites web de stocker des informations sur le navigateur de l'utilisateur.","الكوكيز تسمح للمواقع بحفظ معلومات صغيرة في متصفح المستخدم.","cookies|browser|web",easy
98,Web Development,ar,"يُستخدم التخزين المحلي في المتصفح لحفظ البيانات مؤقتًا.","التخزين المحلي يسمح بحفظ بيانات في المتصفح دون الحاجة إلى خادم.","local storage|browser|data",easy
99,Web Development,fr,"Un endpoint API est une adresse permettant d'accéder à une fonctionnalité d'un service.","نقطة النهاية في API هي عنوان يسمح بالوصول إلى وظيفة معينة في الخدمة.","API endpoint|service|web",medium
100,Web Development,ar,"يُستخدم التوجيه في تطبيقات الويب لتحديد الصفحة التي يجب عرضها.","التوجيه يحدد أي صفحة أو مكون يجب عرضه في التطبيق.","routing|web|application",medium
101,Networking,fr,"Un switch connecte plusieurs appareils dans un réseau local.","المبدل يربط عدة أجهزة داخل الشبكة المحلية.","switch|network|LAN",easy
102,Networking,fr,"Le protocole FTP permet de transférer des fichiers entre ordinateurs.","بروتوكول FTP يستخدم لنقل الملفات بين الحواسيب.","FTP|protocol|files",easy
103,Networking,ar,"يُستخدم NAT لترجمة عناوين الشبكة بين الشبكات المختلفة.","NAT يسمح بتحويل عناوين IP بين الشبكات.","NAT|network|IP",medium
104,Networking,fr,"Un ping permet de vérifier si un appareil est accessible sur le réseau.","أمر ping يستخدم لمعرفة ما إذا كان الجهاز متصلًا بالشبكة.","ping|network|connectivity",easy
105,Networking,ar,"تساعد الجدران النارية في حماية الشبكات من الهجمات.","الجدار الناري يراقب حركة الشبكة ويمنع الاتصالات الضارة.","firewall|network|security",easy
106,Software Engineering,fr,"Le contrôle de version permet de suivre les modifications du code.","التحكم في الإصدارات يسمح بتتبع التغييرات التي تحدث في الكود.","version control|code|software",easy
107,Software Engineering,fr,"Un dépôt Git contient l'historique complet du projet.","مستودع Git يحتوي على جميع التغييرات التي حدثت في المشروع.","git repository|version control|code",easy
108,Software Engineering,ar,"يسمح الدمج بدمج التغييرات من فرع إلى آخر.","الدمج يجمع التغييرات من فرعين مختلفين في المشروع.","merge|git|branch",medium
109,Software Engineering,fr,"Un commit enregistre un ensemble de modifications dans le projet.","الالتزام في Git يسجل مجموعة من التغييرات في المشروع.","commit|git|changes",easy
110,Software Engineering,ar,"تساعد المراجعة البرمجية على تحسين جودة الكود.","مراجعة الكود تسمح للمطورين باكتشاف الأخطاء وتحسين الجودة.","code review|software|quality",medium
111,Cloud Computing Fundamentals,fr,"Une machine virtuelle simule un ordinateur complet dans le cloud.","الآلة الافتراضية تمثل حاسوبًا يعمل داخل بيئة سحابية.","virtual machine|cloud|system",easy
112,Cloud Computing Fundamentals,fr,"Le déploiement automatique permet de نشر التطبيقات بسرعة.","النشر التلقائي يسمح بتشغيل التطبيقات بسرعة بعد تطويرها.","deployment|cloud|application",medium
113,Cloud Computing Fundamentals,ar,"تساعد موازنة الحمل على توزيع الطلبات بين الخوادم.","موازنة الحمل توزع الطلبات على عدة خوادم لتجنب الضغط.","load balancing|cloud|servers",medium
114,Cloud Computing Fundamentals,fr,"Les microservices divisent une application en petits services indépendants.","الميكروسيرفس تقسم التطبيق إلى خدمات صغيرة مستقلة.","microservices|architecture|cloud",medium
115,Cloud Computing Fundamentals,ar,"تستخدم الحاويات لتشغيل التطبيقات بشكل متسق في أي بيئة.","الحاويات تسمح بتشغيل التطبيق بنفس الطريقة في أي نظام.","containers|docker|cloud",medium
116,Algorithms,fr,"Un graphe est une structure composée de nœuds reliés par des arêtes.","الرسم البياني هو هيكل بيانات يتكون من عقد وروابط بينها.","graph|data structure|algorithm",medium
117,Algorithms,fr,"La recherche en profondeur explore les nœuds d'un graphe en profondeur.","البحث العميق يزور العقد في الرسم البياني بشكل متتابع نحو العمق.","DFS|graph|algorithm",medium
118,Algorithms,ar,"يستكشف البحث العرضي العقد مستوى بعد مستوى.","البحث العرضي يزور العقد طبقة بعد طبقة.","BFS|graph|algorithm",medium
119,Algorithms,fr,"La récursivité permet à une fonction de s'appeler elle-même.","الاستدعاء الذاتي يعني أن الدالة يمكن أن تستدعي نفسها.","recursion|function|algorithm",medium
120,Algorithms,ar,"تساعد الخوارزميات الجشعة على إيجاد حلول سريعة لبعض المشاكل.","الخوارزمية الجشعة تختار الحل الأفضل في كل خطوة.","greedy algorithm|optimization|algorithm",medium
121,Databases,fr,"Une requête SELECT permet d'extraire des données spécifiques d'une table.","استعلام SELECT يُستخدم لاستخراج بيانات محددة من جدول.","SQL|select|database",easy
122,Databases,fr,"La clause WHERE permet de filtrer les résultats d'une requête.","جملة WHERE تسمح بتصفية النتائج حسب شرط معين.","SQL|where|query",easy
123,Databases,ar,"يُستخدم GROUP BY لتجميع السجلات التي لها نفس القيمة.","GROUP BY يجمع السجلات التي تشترك في نفس القيمة.","SQL|group by|aggregation",medium
124,Databases,fr,"La clause ORDER BY permet de trier les résultats d'une requête.","ORDER BY يُستخدم لترتيب نتائج الاستعلام.","SQL|order by|sorting",easy
125,Databases,ar,"تُستخدم الدوال التجميعية لحساب القيم مثل المجموع أو المتوسط.","الدوال التجميعية تحسب قيمًا مثل المجموع أو المتوسط.","aggregation|SQL|functions",medium
126,Web Development,fr,"Une requête HTTP est envoyée par le navigateur pour demander une ressource au serveur.","طلب HTTP يرسله المتصفح للحصول على مورد من الخادم.","HTTP request|web|server",easy
127,Web Development,fr,"La réponse HTTP contient les données demandées par le client.","استجابة HTTP تحتوي على البيانات التي طلبها العميل.","HTTP response|web|server",easy
128,Web Development,ar,"تساعد المكتبات البرمجية على تسهيل كتابة الكود.","المكتبة البرمجية توفر وظائف جاهزة تساعد المطور.","software library|code|development",easy
129,Web Development,fr,"Un composant UI est une partie réutilisable de l'interface utilisateur.","مكون واجهة المستخدم هو جزء يمكن إعادة استعماله في الواجهة.","UI component|interface|web",easy
130,Web Development,ar,"تُستخدم أنظمة إدارة المحتوى لإنشاء مواقع بسهولة.","نظام إدارة المحتوى يساعد على إنشاء وإدارة المواقع.","CMS|web|content",easy
131,Networking,fr,"Le protocole HTTPS sécurise la communication entre le navigateur et le serveur.","HTTPS يؤمن الاتصال بين المتصفح والخادم باستخدام التشفير.","HTTPS|security|web",easy
132,Networking,fr,"Une adresse IPv6 est une version plus récente des adresses IP.","IPv6 هو إصدار أحدث من عناوين IP.","IPv6|network|address",easy
133,Networking,ar,"يُستخدم DHCP لتوزيع عناوين IP تلقائيًا.","DHCP يوزع عناوين IP تلقائيًا على الأجهزة.","DHCP|network|IP",medium
134,Networking,fr,"Un proxy agit comme intermédiaire entre le client et le serveur.","الخادم الوسيط يعمل كوسيط بين العميل والخادم.","proxy|network|server",medium
135,Networking,ar,"يساعد VPN على إنشاء اتصال آمن عبر الإنترنت.","VPN يسمح بإنشاء اتصال آمن عبر الشبكة.","VPN|network|security",medium
